name,city,state,location_type,job_title,source_name,year,ad_id,city_state,lon,lat,ma_popup
Mary C. McFarlin,Barre,MA,Room in a house,Milliner; Mantuamaker,Barre Weekly Gazette,1838,McFarlin,"Barre, MA",-72.10509925860848,42.42290511718462,"<b> Mary C. McFarlin </b> <br> 1838 <br> Milliner; Mantuamaker <br> Barre, MA <br> Barre Weekly Gazette"
Miss S. Pomroy; Miss F. Stanley,Northampton,MA,Store,Tailoress,Hampshire Gazette,1838,Pomroy/Stanley,"Northampton, MA",-72.64120602967543,42.32509032151428,"<b> Miss S. Pomroy; Miss F. Stanley </b> <br> 1838 <br> Tailoress <br> Northampton, MA <br> Hampshire Gazette"
Miss Flint,Barre,MA,Store,Milliner; Dressmaker,Barre Gazette,1839,Flint 1,"Barre, MA",-72.10510067303719,42.422904344462346,"<b> Miss Flint </b> <br> 1839 <br> Milliner; Dressmaker <br> Barre, MA <br> Barre Gazette"
Miss Flint,Barre,MA,Store,Milliner; Dressmaker,Hampshire Gazette,1839,Flint 2,"Barre, MA",-72.10509956675851,42.42290457655672,"<b> Miss Flint </b> <br> 1839 <br> Milliner; Dressmaker <br> Barre, MA <br> Hampshire Gazette"
Sarah D. Richardson,Concord,MA,Store,Milliner; dressmaker,Concord Gazette and Middlesex Yeoman,1841,Richardson,"Concord, MA",-71.34894416856126,42.46037091984367,"<b> Sarah D. Richardson </b> <br> 1841 <br> Milliner; dressmaker <br> Concord, MA <br> Concord Gazette and Middlesex Yeoman"
Miss Winchester,Worcester,MA,NA,Milliner; Dressmaker,Worcester Palladium,1843,Winchester 1,"Worcester, MA",-71.80229230100119,42.26259387026539,"<b> Miss Winchester </b> <br> 1843 <br> Milliner; Dressmaker <br> Worcester, MA <br> Worcester Palladium"
Mrs. Towne,Worcester,MA,Shop,Store owner,Worcester Palladium,1844,Towne,"Worcester, MA",-71.80229333769095,42.26259279608258,"<b> Mrs. Towne </b> <br> 1844 <br> Store owner <br> Worcester, MA <br> Worcester Palladium"
Miss Winchester,Worcester,MA,NA,Milliner; Dressmaker,Worcester Palladium,1846,Winchester 2,"Worcester, MA",-71.8022904660655,42.262592505772254,"<b> Miss Winchester </b> <br> 1846 <br> Milliner; Dressmaker <br> Worcester, MA <br> Worcester Palladium"
Miss Winchester,Worcester,MA,NA,Dressmaker,Worcester Palladium,1847,Winchester 3,"Worcester, MA",-71.8022908261855,42.26259273636444,"<b> Miss Winchester </b> <br> 1847 <br> Dressmaker <br> Worcester, MA <br> Worcester Palladium"
Miss Winchester,Worcester,MA,NA,Milliner; Dressmaker,Worcester Palladium,1847,Winchester 4,"Worcester, MA",-71.8022965186602,42.262594180468774,"<b> Miss Winchester </b> <br> 1847 <br> Milliner; Dressmaker <br> Worcester, MA <br> Worcester Palladium"
